"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0600000;"LUBELSKIE";"samochody ciężarowe";"pozostałe";"2020";16805;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"pozostałe";"2021";17022;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"pozostałe";"2022";17455;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"pozostałe";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"autobusy";"benzyna";"2018";251;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"benzyna";"2019";249;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"benzyna";"2020";249;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"benzyna";"2021";252;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"benzyna";"2022";250;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"benzyna";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"autobusy";"olej napędowy";"2018";5650;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"olej napędowy";"2019";5693;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"olej napędowy";"2020";5704;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"olej napędowy";"2021";5741;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"olej napędowy";"2022";5781;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"olej napędowy";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"autobusy";"gaz (LPG)";"2018";9;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"gaz (LPG)";"2019";9;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"gaz (LPG)";"2020";8;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"gaz (LPG)";"2021";6;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"gaz (LPG)";"2022";5;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"gaz (LPG)";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"autobusy";"pozostałe";"2018";1282;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"pozostałe";"2019";1292;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"pozostałe";"2020";1301;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"pozostałe";"2021";1340;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"pozostałe";"2022";1354;"szt.";"";
0600000;"LUBELSKIE";"autobusy";"pozostałe";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"ciągniki siodłowe";"benzyna";"2018";121;"szt.";"";
0600000;"LUBELSKIE";"ciągniki siodłowe";"benzyna";"2019";121;"szt.";"";
0600000;"LUBELSKIE";"ciągniki siodłowe";"benzyna";"2020";123;"szt.";"";
0600000;"LUBELSKIE";"ciągniki siodłowe";"benzyna";"2021";129;"szt.";"";
0600000;"LUBELSKIE";"ciągniki siodłowe";"benzyna";"2022";132;"szt.";"";
0600000;"LUBELSKIE";"ciągniki siodłowe";"benzyna";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"ciągniki siodłowe";"olej napędowy";"2018";16787;"szt.";"";
0600000;"LUBELSKIE";"ciągniki siodłowe";"olej napędowy";"2019";17763;"szt.";"";
