"Kod";"Nazwa";"Kierunki inwestowania";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2023";;"tys. zł";"n";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2000";103633,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2001";354757,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2002";264034,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2003";302594,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2004";92002,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2005";24475,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2006";15290,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2007";13728,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2008";36098,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2009";13113,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2010";11658,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2011";21551,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2012";55159,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2013";35777,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2014";234753,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2015";18660,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2016";9116,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2017";24707,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2018";30749,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2019";26867,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2020";35099,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2021";37248,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2022";0,0;"tys. zł";"x";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw, w tym modernizacja kotłowni i ciepłowni";"2023";;"tys. zł";"n";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2000";72880,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2001";29734,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2002";55708,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2003";57833,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2004";48214,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2005";25604,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2006";56181,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2007";22448,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2008";26950,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2009";15117,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2010";25970,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2011";6610,3;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2012";19404,3;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2013";83603,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2014";243314,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2015";476177,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2016";96079,3;"tys. zł";"";
