Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wska?nik;Czas u?redniania;?rednia;Min;Max;L. dni > 120 (S8max);26 maks (S8max);Per. S93.2 (S8max);AOT40 V-VII;SOMO35;Liczba pomiarów;Kompl. lato;Kompl. zima;Liczba kompletnych mies. letnich (IV-IX);Kompletno??;Liczba Lato/Zima
(-);(-);(-);(-);(-);(-);(-);[µg/m3];[µg/m3];[µg/m3];(-);[µg/m3];[µg/m3];[µg/m3]*h;[µg/m3]*d;(-);[%];[%];(-);[%];(-)
2015;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;O3;1g;52,1;0,0;185,1;24;118,6;131,4;12 824;6 348;5 676;81,0;49,0;4;64,8;1,7
2015;lubuskie;PL0803;strefa lubuska;LuZarySzyman;O3;1g;53,8;0,0;214,3;30;125,4;128,8;16 256;5 329;8 051;88,0;96,0;4;91,9;0,9
2015;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzCzerni;O3;1g;55,6;0,6;178,5;30;125,8;125,8;17 331;5 644;8 727;100,0;99,0;6;99,6;1,0
2015;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzGdansk;O3;1g;49,7;0,2;184,2;24;119,8;120,4;14 446;4 576;8 665;100,0;98,0;6;98,9;1,0
2015;?ódzkie;PL1001;Aglomeracja ?ódzka;LdPabiKonsta;O3;1g;52,1;0,8;178,7;28;122,0;122,3;16 656;5 232;8 616;98,0;99,0;5;98,4;1,0
2015;?ódzkie;PL1002;strefa ?ódzka;LdGajewUjWod;O3;1g;51,9;0,9;185,0;23;118,3;118,8;14 562;4 905;8 617;99,0;98,0;6;98,4;1,0
2015;?ódzkie;PL1002;strefa ?ódzka;LdParzniUjWo;O3;1g;58,2;0,1;182,7;31;126,1;127,7;17 001;5 962;8 593;98,0;98,0;6;98,1;1,0
2015;?ódzkie;PL1002;strefa ?ódzka;LdPioTrKraPr;O3;1g;45,3;-0,2;178,4;22;117,4;117,6;12 345;4 167;8 626;99,0;98,0;6;98,5;1,0
2015;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;O3;1g;38,2;1,0;187,7;23;119,2;119,2;13 974;4 189;8 740;100,0;100,0;6;99,8;1,0
2015;ma?opolskie;PL1202;miasto Tarnów;MpTarBitStud;O3;1g;45,8;1,0;191,9;19;116,9;118,2;12 689;4 015;8 589;98,0;98,0;6;98,0;1,0
