"Kod";"Nazwa";"Przystanki";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1000000;"ŁÓDZKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2023";;"szt.";"n";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2018";14666;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2019";15102;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2020";15617;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2021";15955;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2022";16266;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2023";;"szt.";"n";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2018";14316;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2019";14750;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2020";15265;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2021";15679;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2022";15984;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2023";;"szt.";"n";
1200000;"MAŁOPOLSKIE";"przystanki tramwajowe";"ogółem";"2018";350;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki tramwajowe";"ogółem";"2019";352;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki tramwajowe";"ogółem";"2020";352;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki tramwajowe";"ogółem";"2021";276;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki tramwajowe";"ogółem";"2022";282;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki tramwajowe";"ogółem";"2023";;"szt.";"n";
1200000;"MAŁOPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2018";37;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2019";37;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2020";37;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2021";75;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2022";78;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2023";;"szt.";"n";
1400000;"MAZOWIECKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2018";21412;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2019";21735;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2020";22205;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2021";22848;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2022";23429;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2023";;"szt.";"n";
1400000;"MAZOWIECKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2018";20835;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2019";21192;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2020";21661;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2021";22299;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2022";22858;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2023";;"szt.";"n";
1400000;"MAZOWIECKIE";"przystanki tramwajowe";"ogółem";"2018";577;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki tramwajowe";"ogółem";"2019";543;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki tramwajowe";"ogółem";"2020";544;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki tramwajowe";"ogółem";"2021";549;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki tramwajowe";"ogółem";"2022";571;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki tramwajowe";"ogółem";"2023";;"szt.";"n";
1400000;"MAZOWIECKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2018";20;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2019";25;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2020";20;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2021";20;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2022";20;"szt.";"";
1400000;"MAZOWIECKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2023";;"szt.";"n";
1600000;"OPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2018";4037;"szt.";"";
1600000;"OPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2019";4286;"szt.";"";
1600000;"OPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2020";4337;"szt.";"";
1600000;"OPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2021";4444;"szt.";"";
1600000;"OPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2022";4570;"szt.";"";
1600000;"OPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2023";;"szt.";"n";
1600000;"OPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2018";4037;"szt.";"";
1600000;"OPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2019";4286;"szt.";"";
1600000;"OPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2020";4337;"szt.";"";
1600000;"OPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2021";4444;"szt.";"";
1600000;"OPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2022";4570;"szt.";"";
1600000;"OPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2023";;"szt.";"n";
1600000;"OPOLSKIE";"przystanki tramwajowe";"ogółem";"2018";0;"szt.";"";
1600000;"OPOLSKIE";"przystanki tramwajowe";"ogółem";"2019";0;"szt.";"";
1600000;"OPOLSKIE";"przystanki tramwajowe";"ogółem";"2020";0;"szt.";"";
1600000;"OPOLSKIE";"przystanki tramwajowe";"ogółem";"2021";0;"szt.";"";
1600000;"OPOLSKIE";"przystanki tramwajowe";"ogółem";"2022";0;"szt.";"";
1600000;"OPOLSKIE";"przystanki tramwajowe";"ogółem";"2023";;"szt.";"n";
1600000;"OPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2018";0;"szt.";"";
1600000;"OPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2019";0;"szt.";"";
1600000;"OPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2020";0;"szt.";"";
1600000;"OPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2021";0;"szt.";"";
1600000;"OPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2022";0;"szt.";"";
1600000;"OPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2023";;"szt.";"n";
1800000;"PODKARPACKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2018";9981;"szt.";"";
1800000;"PODKARPACKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2019";10221;"szt.";"";
1800000;"PODKARPACKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2020";10389;"szt.";"";
1800000;"PODKARPACKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2021";10390;"szt.";"";
1800000;"PODKARPACKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2022";10621;"szt.";"";
1800000;"PODKARPACKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2023";;"szt.";"n";
1800000;"PODKARPACKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2018";9981;"szt.";"";
1800000;"PODKARPACKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2019";10221;"szt.";"";
1800000;"PODKARPACKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2020";10389;"szt.";"";
1800000;"PODKARPACKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2021";10390;"szt.";"";
1800000;"PODKARPACKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2022";10621;"szt.";"";
1800000;"PODKARPACKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2023";;"szt.";"n";
1800000;"PODKARPACKIE";"przystanki tramwajowe";"ogółem";"2018";0;"szt.";"";
1800000;"PODKARPACKIE";"przystanki tramwajowe";"ogółem";"2019";0;"szt.";"";
1800000;"PODKARPACKIE";"przystanki tramwajowe";"ogółem";"2020";0;"szt.";"";
1800000;"PODKARPACKIE";"przystanki tramwajowe";"ogółem";"2021";0;"szt.";"";
1800000;"PODKARPACKIE";"przystanki tramwajowe";"ogółem";"2022";0;"szt.";"";
1800000;"PODKARPACKIE";"przystanki tramwajowe";"ogółem";"2023";;"szt.";"n";
1800000;"PODKARPACKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2018";0;"szt.";"";
1800000;"PODKARPACKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2019";0;"szt.";"";
1800000;"PODKARPACKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2020";0;"szt.";"";
