"Kod";"Nazwa";"Rodzaje zanieczyszczeń";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2016";12772748;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2017";11997408;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2018";11771038;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2019";10217489;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2020";10302082;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2021";15076049;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2022";16016900;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"1996";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"1997";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"1998";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"1999";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2000";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2001";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2002";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2003";17,7;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2004";19,5;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2005";20,9;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2006";23,5;"kg";"M";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2007";21,1;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2008";18,8;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2009";19,1;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2010";18,6;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2011";16,6;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2012";16,5;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2013";13,1;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2014";8,6;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2015";7,8;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2016";6,9;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2017";4,7;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2018";4,3;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2019";2,9;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2020";3,1;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2021";3,5;"kg";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek siarki na 1 mieszkańca";"2022";3,5;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"1996";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"1997";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"1998";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"1999";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2000";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2001";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2002";;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2003";8,4;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2004";7,9;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2005";8,0;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2006";7,3;"kg";"M";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2007";7,3;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2008";6,6;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2009";6,4;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2010";6,6;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2011";6,4;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2012";6,5;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2013";5,6;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2014";4,9;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2015";4,4;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2016";3,8;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2017";3,6;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2018";3,7;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2019";3,3;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2020";3,3;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2021";4,2;"kg";"";
0200000;"DOLNOŚLĄSKIE";"tlenki azotu na 1 mieszkańca";"2022";4,3;"kg";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"1996";;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"1997";;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"1998";8637108;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"1999";8144756;"t/r";"M";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2000";8163546;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2001";8356555;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2002";7833822;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2003";8813199;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2004";8830205;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2005";8145494;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2006";7703340;"t/r";"M";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2007";7534842;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2008";6966372;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2009";6766934;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2010";6998979;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2011";7033523;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2012";8456423;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2013";7938915;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";8102409;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";8380278;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";9328886;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";9778479;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";9911185;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2019";9733021;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2020";9924503;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2021";9975146;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2022";9507842;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"1996";;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"1997";;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"1998";;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"1999";;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2000";;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2001";;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2002";;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2003";490,44;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2004";491,39;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2005";453,28;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2006";428,63;"t";"M";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2007";419,25;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2008";387,62;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2009";376,53;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2010";389,44;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2011";391,36;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2012";470,53;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2013";441,74;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2014";450,84;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2015";466,30;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2016";519,08;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2017";544,10;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2018";551,48;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2019";541,60;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2020";552,25;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2021";555,07;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"emisja ogółem na km2";"2022";529,04;"t";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"1996";93380;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"1997";86834;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"1998";86367;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"1999";78699;"t/r";"M";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2000";75220;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2001";77064;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2002";73730;"t/r";"";
