"Kod";"Nazwa";"Rodzaje źródeł";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2003";12233,3;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2004";13519,3;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2005";15563,4;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2006";15244,8;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2007";14548,1;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2008";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2009";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2010";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2011";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2012";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2013";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2014";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2015";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2016";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2017";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2018";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2019";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2020";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2021";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2022";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2023";;"GWh";"n";
