Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wska?nik;Czas u?redniania;?rednia;Min;Maks;Maks (S8max);Liczba pomiarów;Kompletno?? ;Liczba Lato/Zima;;;;;;
(-);(-);(-);(-);(-);(-);(-);[mg/m3];[mg/m3];[mg/m3];[mg/m3];(-);[%];(-);;;;;;
2004;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlDabroDabr_ziolo;CO;1g;0,8;0,0;4,4;2,74;2755;31,4;0,3;;;;;;
2004;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlGliwiGliw_kujaw;CO;1g;0,9;0,3;5,2;4,59;2856;32,5;1,3;;;;;;
2004;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlPiekaPiek_darwi;CO;1g;0,8;0,0;4,8;3,85;5172;58,9;1,6;;;;;;
2004;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlSosnoSosn_narut;CO;1g;1,2;0,3;11,0;8,68;8488;96,6;1,0;;;;;;
2004;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlZabrzZabr_wolno;CO;1g;0,8;0,2;5,5;4,51;6429;73,2;2,0;;;;;;
2004;?l?skie;PL2404;miasto Cz?stochowa;SlCzestCzes_arkra;CO;1g;0,7;0,1;6,9;4,37;7422;84,5;1,5;;;;;;
2004;?l?skie;PL2405;strefa ?l?ska;SlKuzniGliw_wiejs;CO;1g;0,7;0,2;5,2;3,66;6645;75,6;1,9;;;;;;
2004;?l?skie;PL2405;strefa ?l?ska;SlUstroCies_sanat;CO;1g;0,4;0,1;3,4;2,91;7873;89,6;1,0;;;;;;
2004;?l?skie;PL2405;strefa ?l?ska;SlWojkoBedz_pader;CO;1g;0,6;0,3;3,0;1,86;2791;31,8;16,2;;;;;;
2004;?wi?tokrzyskie;PL2601;miasto Kielce;SkKielTransp;CO;1g;0,6;0,0;4,3;3,19;8254;94,0;1,1;;;;;;
2005;dolno?l?skie;PL0201;Aglomeracja Wroc?awska;DsWrocAlWisn;CO;1g;0,9;0,0;5,7;3,11;7303;83,4;0,9;;;;;;
2005;dolno?l?skie;PL0201;Aglomeracja Wroc?awska;DsWrocWybCon;CO;1g;0,4;0,0;3,0;2,17;7394;84,4;1,1;;;;;;
2005;dolno?l?skie;PL0202;miasto Legnica;DsLegAlRzecz;CO;1g;0,4;0,1;4,0;2,71;6088;69,5;1,3;;;;;;
2005;dolno?l?skie;PL0202;miasto Legnica;DsLegSmok;CO;1g;0,4;0,2;2,4;2,24;8665;98,9;1,0;;;;;;
2005;dolno?l?skie;PL0202;miasto Legnica;DsLegZlotor;CO;1g;0,4;0,1;2,2;2,03;8530;97,4;1,0;;;;;;
2005;dolno?l?skie;PL0204;strefa dolno?l?ska;DsBialka;CO;1g;0,4;0,1;2,1;1,95;8235;94,0;1,1;;;;;;
2005;dolno?l?skie;PL0204;strefa dolno?l?ska;DsGlogSikor;CO;1g;0,4;0,0;1,8;1,20;7816;89,2;0,8;;;;;;
2005;dolno?l?skie;PL0204;strefa dolno?l?ska;DsJelw05;CO;1g;0,2;0,0;1,0;0,95;6329;72,2;1,8;;;;;;
2005;dolno?l?skie;PL0204;strefa dolno?l?ska;DsJgCiepA;CO;1g;0,7;0,0;4,8;3,87;6359;72,6;0,8;;;;;;
2005;dolno?l?skie;PL0204;strefa dolno?l?ska;DsKromolin;CO;1g;0,3;0,1;1,2;1,03;8688;99,2;1,0;;;;;;
2005;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSobczyce;CO;1g;0,3;0,1;1,5;1,05;8654;98,8;1,0;;;;;;
2005;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;CO;1g;0,4;0,0;4,4;2,73;6951;79,3;1,1;;;;;;
2005;kujawsko-pomorskie;PL0402;miasto Toru?;KpToruKaszow;CO;1g;0,6;0,0;5,3;3,35;8049;91,9;1,2;;;;;;
2005;kujawsko-pomorskie;PL0403;miasto W?oc?awek;KpWloclOkrze;CO;1g;0,5;0,0;12,1;9,57;7121;81,3;1,1;;;;;;
2005;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpDAFGolub;CO;1g;3,2;0,6;13,6;7,65;1465;16,7;1,0;;;;;;
2005;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpWabrzstmob;CO;1g;0,7;0,0;11,2;8,94;1195;13,6;1,0;;;;;;
2005;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;CO;1g;0,4;0,0;2,9;1,71;8027;91,6;1,0;;;;;;
2005;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;CO;1g;0,4;0,0;4,4;2,54;7582;86,6;0,9;;;;;;
2005;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzCzerni;CO;1g;0,4;0,1;4,9;2,37;8499;97,0;1,0;;;;;;
2005;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzWIOSARubinst;CO;1g;0,6;0,0;4,0;2,37;8726;99,6;1,0;;;;;;
2005;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzZachod;CO;1g;0,8;0,1;6,4;3,17;8705;99,4;1,0;;;;;;
2005;?ódzkie;PL1001;Aglomeracja ?ódzka;LdZgieMielcz;CO;1g;0,7;0,1;4,7;3,65;8560;97,7;1,0;;;;;;
2005;?ódzkie;PL1002;strefa ?ódzka;LdPiotrkWIOSABelzack;CO;1g;0,6;0,0;7,5;3,82;8364;95,5;1,0;;;;;;
2005;?ódzkie;PL1002;strefa ?ódzka;LdRadomsSoko;CO;1g;0,4;0,0;4,1;1,98;5508;62,9;1,2;;;;;;
2005;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;CO;1g;1,6;0,2;10,5;7,08;8146;93,0;0,9;;;;;;
2005;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;CO;1g;0,7;0,1;4,9;3,99;7811;89,2;0,9;;;;;;
2005;ma?opolskie;PL1202;miasto Tarnów;MpTarnowWIOSSoli6303;CO;1g;0,6;0,1;9,1;7,12;6709;76,6;1,7;;;;;;
2005;ma?opolskie;PL1203;strefa ma?opolska;MpTrzebiWIOSPils0303;CO;1g;0,6;0,1;4,9;3,53;7934;90,6;1,1;;;;;;
2005;ma?opolskie;PL1203;strefa ma?opolska;MpZakopaSien;CO;1g;0,7;0,1;6,1;4,63;8219;93,8;1,0;;;;;;
2005;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;CO;1g;1,2;0,1;8,8;5,71;8567;97,8;1,0;;;;;;
2005;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;CO;1g;0,5;0,1;4,6;3,43;8606;98,2;1,0;;;;;;
2005;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszKrucza;CO;1g;0,5;0,1;2,5;1,77;8656;98,8;1,0;;;;;;
2005;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszSGGW;CO;1g;0,4;0,1;5,6;1,96;6256;71,4;1,9;;;;;;
2005;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarTolstoj;CO;1g;0,5;0,1;5,6;2,74;4426;50,5;1,1;;;;;;
2005;mazowieckie;PL1402;miasto P?ock;MzPlockPKN2;CO;1g;0,4;0,0;2,3;1,89;7102;81,1;0,8;;;;;;
2005;mazowieckie;PL1402;miasto P?ock;MzPlockPKN3;CO;1g;0,3;0,0;1,7;1,40;5530;63,1;0,8;;;;;;
2005;mazowieckie;PL1402;miasto P?ock;MzPlocKroJad;CO;1g;0,4;0,0;2,9;1,84;6128;70,0;0,8;;;;;;
2005;mazowieckie;PL1402;miasto P?ock;MzPlocMiReja;CO;1g;0,4;0,0;3,4;2,08;8665;98,9;1,0;;;;;;
2005;mazowieckie;PL1403;miasto Radom;MzRadomPulask;CO;1g;0,5;0,0;6,0;4,10;7805;89,1;1,1;;;;;;
2005;mazowieckie;PL1403;miasto Radom;MzRadTochter;CO;1g;0,6;0,1;6,0;3,77;6258;71,4;0,6;;;;;;
2005;mazowieckie;PL1404;strefa mazowiecka;MzBelsIGFPAN;CO;1g;0,4;0,0;1,6;1,43;7114;81,2;1,3;;;;;;
2005;mazowieckie;PL1404;strefa mazowiecka;MzZyraRoosev;CO;1g;0,4;0,1;5,4;3,36;8228;93,9;1,1;;;;;;
2005;opolskie;PL1602;strefa opolska;OpKKozBSmial;CO;1g;0,4;0,0;3,0;1,96;5388;61,5;1,8;;;;;;
2005;podkarpackie;PL1801;miasto Rzeszów;PkRzeszWIOSSzop;CO;1g;0,5;0,0;5,2;4,52;7594;86,7;0,8;;;;;;
2005;podlaskie;PL2001;Aglomeracja Bia?ostocka;PdBialWaszyn;CO;1g;0,4;0,0;3,8;3,03;7733;88,3;1,1;;;;;;
2005;podlaskie;PL2002;strefa podlaska;PdGrajNowickiego;CO;1g;0,5;0,0;3,0;1,66;1423;16,2;1,0;;;;;;
2005;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;CO;1g;0,4;0,1;5,0;3,40;8145;93,0;1,0;;;;;;
2005;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaOstrz05;CO;1g;0,3;0,1;1,6;1,22;8188;93,5;1,0;;;;;;
2005;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdyPoreb04;CO;1g;0,4;0,1;1,8;1,06;8057;92,0;0,9;;;;;;
2005;pomorskie;PL2201;Aglomeracja Trójmiejska;PmSopBitPl06;CO;1g;0,3;0,1;3,2;1,07;8708;99,4;1,0;;;;;;
2005;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlBytomByto_modrz;CO;1g;0,6;0,1;4,8;3,33;5156;58,9;0,9;;;;;;
2005;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlChorzChor_bator;CO;1g;0,6;0,0;3,1;2,40;3700;42,2;2,0;;;;;;
2005;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlDabro1000L;CO;1g;0,7;0,1;4,3;3,43;7590;86,6;0,9;;;;;;
2005;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlKatoKossut;CO;1g;0,6;0,2;4,3;3,08;6875;78,5;1,1;;;;;;
2005;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlSosnoSosn_narut;CO;1g;0,9;0,2;7,7;5,91;6048;69,0;2,1;;;;;;
2005;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlTychyTolst;CO;1g;0,5;0,0;2,9;1,98;3362;38,4;4,1;;;;;;
2005;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlZabSkloCur;CO;1g;0,7;0,0;4,5;3,34;5042;57,6;2,5;;;;;;
2005;?l?skie;PL2404;miasto Cz?stochowa;SlCzestCzes_arkra;CO;1g;0,9;0,3;3,0;2,47;1825;20,8;0,3;;;;;;
2005;?l?skie;PL2405;strefa ?l?ska;SlUstroCies_sanat;CO;1g;0,7;0,2;3,8;3,13;8722;99,6;1,0;;;;;;
2005;?l?skie;PL2405;strefa ?l?ska;SlWodzGalczy;CO;1g;0,7;0,2;6,3;4,67;7236;82,6;1,3;;;;;;
2005;?wi?tokrzyskie;PL2601;miasto Kielce;SkKielTransp;CO;1g;0,9;0,1;3,5;3,02;7540;86,1;1,0;;;;;;
2005;warmi?sko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;CO;1g;0,4;0,1;3,0;1,93;8118;92,7;1,0;;;;;;
2005;warmi?sko-mazurskie;PL2802;miasto Elbl?g;WmElbBazynsk;CO;1g;0,3;0,0;1,4;1,05;4406;50,3;1,1;;;;;;
2005;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmGoldJacwie;CO;1g;0,4;0,0;1,9;1,17;3989;45,5;1,0;;;;;;
2005;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmMragParkow;CO;1g;0,3;0,1;1,0;0,84;3433;39,2;0,7;;;;;;
2005;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmOstrChrobr;CO;1g;0,4;0,0;3,3;1,87;8648;98,7;1,0;;;;;;
2005;wielkopolskie;PL3001;Aglomeracja Pozna?ska;WpPoznDabrow;CO;1g;0,4;0,0;5,4;2,77;7269;83,0;1,1;;;;;;
2005;wielkopolskie;PL3001;Aglomeracja Pozna?ska;WpPoznPolank;CO;1g;0,4;0,0;2,4;2,07;7956;90,8;1,0;;;;;;
2005;wielkopolskie;PL3003;strefa wielkopolska;WpKoniWyszyn;CO;1g;0,4;0,0;16,9;16,51;2671;30,5;1,4;;;;;;
2005;wielkopolskie;PL3003;strefa wielkopolska;WpPilaKusoci;CO;1g;0,5;0,0;3,3;2,16;7930;90,5;1,0;;;;;;
